,"('metrics.roc-auc_mse', 'mean')","('metrics.roc-auc_mse', 'std')","('metrics.roc-auc_mse_top_k', 'mean')","('metrics.roc-auc_mse_top_k', 'std')",params.pipeline,params.data_source,model,"('metrics.roc-auc_mse_kld', 'mean')","('metrics.roc-auc_mse_kld', 'std')","('metrics.roc-auc_kld', 'mean')","('metrics.roc-auc_kld', 'std')","('metrics.roc-auc_l1_top_k', 'mean')","('metrics.roc-auc_l1_top_k', 'std')","('metrics.roc-auc_l1', 'mean')","('metrics.roc-auc_l1', 'std')","('metrics.roc-auc_l1_kld', 'mean')","('metrics.roc-auc_l1_kld', 'std')","('metrics.roc-auc_proba', 'mean')","('metrics.roc-auc_proba', 'std')","('metrics.roc-auc_proba_coproba', 'mean')","('metrics.roc-auc_proba_coproba', 'std')","('metrics.roc-auc_coproba', 'mean')","('metrics.roc-auc_coproba', 'std')"
1,,,,,"{'hist_equalisation': False, 'otsu_filter': False, 'adaptive_hist_equilization': False, 'normalisation': (-1, 1)}",XR_HAND,dcgan,,,,,,,,,,,0.4965771706463429,0.017511332664921362,,,,
2,,,,,"{'hist_equalisation': False, 'otsu_filter': False, 'adaptive_hist_equilization': False, 'normalisation': (-1, 1)}",XR_HAND_PHOTOSHOP,dcgan,,,,,,,,,,,0.5300625241544706,0.027086892571691595,,,,
3,,,,,"{'hist_equalisation': True, 'otsu_filter': False, 'adaptive_hist_equilization': False, 'normalisation': (-1, 1)}",XR_HAND_PHOTOSHOP,dcgan,,,,,,,,,,,0.5271879670173651,0.022036773089585588,,,,
4,,,,,"{'hist_equalisation': True, 'otsu_filter': False, 'adaptive_hist_equilization': False, 'normalisation': (-1, 1)}",XR_HAND,dcgan,,,,,,,,,,,0.4908445959903812,0.04083385443786766,,,,
5,,,,,"{'hist_equalisation': True, 'otsu_filter': False, 'adaptive_hist_equilization': False, 'normalisation': (-1, 1)}",XR_HAND_CROPPED,dcgan,,,,,,,,,,,0.49284065920837594,0.024665489334476695,,,,
0,0.4713330889448297,0.02067004141831867,0.4708978781831214,0.011268608459355955,"{'hist_equalisation': False, 'otsu_filter': False, 'adaptive_hist_equilization': False, 'normalisation': (-1, 1)}",XR_HAND,bigan,,,,,,,,,,,0.507925895759701,0.006760588006777121,,,,
1,0.49052691281998867,0.04176836532692062,0.4751324984700689,0.033138876864418326,"{'hist_equalisation': False, 'otsu_filter': False, 'adaptive_hist_equilization': False, 'normalisation': (-1, 1)}",XR_HAND_PHOTOSHOP,bigan,,,,,,,,,,,0.5488725588797334,0.005502428547159829,,,,
2,0.43793705565376834,0.03930604302032923,0.45932324812481345,0.029645622042262683,"{'hist_equalisation': False, 'otsu_filter': False, 'adaptive_hist_equilization': False, 'normalisation': (-1, 1)}",XR_HAND_CROPPED,bigan,,,,,,,,,,,0.5338331969048287,0.01611932459406141,,,,
3,0.5059069129371534,,0.5072091774857348,,"{'hist_equalisation': True, 'otsu_filter': False, 'adaptive_hist_equilization': False, 'normalisation': (0, 1)}",XR_HAND_PHOTOSHOP,bigan,,,,,,,,,,,0.5212994810823708,,,,,
0,0.46631022417832846,0.022033881008200605,0.4455319536288658,0.017775954079102138,"{'hist_equalisation': False, 'otsu_filter': False, 'adaptive_hist_equilization': False, 'normalisation': (-1, 1)}",XR_HAND_CROPPED,alphagan,,,,,,,,,,,0.5342126005502242,0.02201882807820442,0.5341969357129225,0.022009265164528086,0.4996110799014736,0.000777840197052825
1,0.4757015234297238,0.029384487338160178,0.4645784808222714,0.03063716741431451,"{'hist_equalisation': False, 'otsu_filter': False, 'adaptive_hist_equilization': False, 'normalisation': (-1, 1)}",XR_HAND,alphagan,,,,,,,,,,,0.5032663827813758,0.02221463334848314,0.5032666528647776,0.022215142612518415,0.5,0.0
2,0.4415305574158341,0.013056379260763253,0.42159774414388934,0.016462123347629042,"{'hist_equalisation': False, 'otsu_filter': False, 'adaptive_hist_equilization': False, 'normalisation': (-1, 1)}",XR_HAND_PHOTOSHOP,alphagan,,,,,,,,,,,0.6071631459375768,0.016476080146260806,0.6071626487598614,0.016475776659459436,0.5,0.0
